Name,Education
Quek Leng Chan,"LLB, Middle Temple"
Israel Englander,"Bachelor of Arts/Science, New York University"
Charles Ergen,"Bachelor of Arts/Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business"
Jim Pattison,
Yao Liangsong,
David Geffen,"Drop Out, The University of Texas at Austin"
Yeung Kin-man,
Ding Shizhong & family,"EMBA, Xiamen University"
Harold Hamm & family,"Diploma, High School"
Jim Kennedy,"Bachelor of Arts/Science, University of Denver"
Blair Parry-Okeden,"Diploma, High School; Bachelor of Arts/Science, University of Denver"
Ding Shijia,
Kim Beom-su,"Bachelor of Science in Engineering, Seoul National University; Master of Science, Seoul National University"
Ian & Richard Livingstone,
Sun Hongbin,"Master, Tsinghua University"
Alberto Bailleres Gonzalez & family,
Lam Wai-ying,
Massimiliana Landini Aleotti & family,
Lu Xiangyang,
Wolfgang Marguerre & family,
David Sun,"Bachelor of Engineering, Tatung University"
John Tu,"Bachelor of Arts/Science, Technische Universität Darmstadt"
Guillaume Pousaz,
Viktor Vekselberg,"Bachelor of Arts/Science, Moscow State University of Railway Engineering"
Jerry Jones,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
Michael Otto,"Doctorate, University of Hamburg; Doctorate, University of Munich"
Steven Rales,"Law Degree, American University; Bachelor of Arts/Science, DePauw University"
Sarath Ratanavadi,"Bachelor of Science in Engineering, Chulalongkorn University; Master of Science in Engineering, University of Southern California"
Tse Ping,
Chan Tan Ching-fen,
David Cheriton,"Bachelor of Arts/Science, University of British Columbia; Doctorate, University of Waterloo; Master of Science, University of Waterloo"
Xavier Niel,
August von Finck,
Zong Qinghou,
Benu Gopal Bangur,"Bachelor of Arts/Science, Calcutta University"
Sam Bankman-Fried,"Bachelor of Arts/Science, Massachusetts Institute of Technology"
Cheng Xue,
Graeme Hart,
Kjeld Kirk Kristiansen,"Bachelor of Arts/Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development"
Sofie Kirk Kristiansen,
Thomas Kirk Kristiansen,
Lin Bin,"Master, Drexel University"
Liu Jincheng & family,"Doctorate, South China University of Technology; Bachelor of Arts/Science, University of Electronic Science and Technology of China; Master of Science, Wuhan University"
Shigenobu Nagamori,
Carlos Alberto Sicupira & family,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"
Agnete Kirk Thinggaard,
Anthony von Mandl,"Bachelor of Arts/Science, University of British Columbia"
Xu Shihui,
Ernesto Bertarelli,"Bachelor of Arts/Science, Babson College; Master of Business Administration, Harvard University"
Leon Black,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
Azim Premji,"Bachelor of Arts/Science, Stanford University"
Andrei Skoch & family,State Central Institute of Physical Culture
George Soros,"Bachelor of Arts/Science, London School of Economics"
Zheng Shuliang & family,
Marc Benioff,"Bachelor of Arts/Science, University of Southern California"
Kuldip Singh & Gurbachan Singh Dhingra,"Bachelor of Arts/Science, Delhi University"
Ann Walton Kroenke,"Registered Nurse, Lincoln University"
Bubba Cathy,"Bachelor of Arts/Science, Samford University"
Dan Cathy,"Bachelor of Arts/Science, Georgia Southern University"
Jay Y. Lee,"Master of Business Administration, Keio University; Bachelor of Arts/Science, Seoul National University"
Pan Dong,"Master of Business Administration, Lawrence Technological University; Bachelor of Science, Wuhan University; Master, Wuhan University"
Hasso Plattner & family,"Master of Science, University of Karlsruhe"
