Name,Education
Helen Johnson-Leipold,Bachelor
Daryl Katz,Bachelor
Peter Kellogg,Bachelor
Samuel Tak Lee,Master
Li Hongxin & family,
Marianne Liebmann,Bachelor
Winifred J. Marquart,Uni Drop Out
Daniel Och,Bachelor
Anthony Pritzker,Bachelor
Rodger Riney & family,Bachelor
Niraj Shah,Bachelor
Lynsi Snyder,
Jerzy Starak,
Michael Tojner,Master
Richard Tsai,Master
Ty Warner,Uni Drop Out
Yang Shaopeng,
Yuan Liping,
Zhang Hongwei,Bachelor
Andrej Babis,Master
Shyam & Hari Bhartia,
Hubert Burda,Bachelor
Chuchat Petaumpai & Daonapa Petampai,Bachelor
Charles Cohen,Doctor
David Filo,Master
Sergei Galitsky,Bachelor
Alessandra Garavoglia,Bachelor
Franco Bittar Garcia,
Martha Ingram & family,Bachelor
H. Fisk Johnson,Bachelor
Li Guoqiang,
Lim Wee Chai,Master
Liu Xiaodong,
Daniel Loeb,Bachelor
Jim McKelvey,Bachelor
Apoorva Mehta,Bachelor
N.R. Narayana Murthy,Master
John Paulson,Master
J.B. Pritzker,Bachelor
Michael Rubin,Uni Drop Out
Arnout Schuijff,
Thomas Secunda,Bachelor
Vivek Chaand Sehgal,Bachelor
E. Joe Shoen,Master
Leena Tewari,Master
Julia Thiele-Schuerhoff,
Romesh T. Wadhwani,Doctor
Wu Shaoxun,
Ye Guofu,
Denise York & family,
Zhou Jianping,
Mohed Altrad,
Gayle Benson,
Francesco Gaetano Caltagirone,
"William Conway, Jr.",Bachelor
Jim Davis,Bachelor
Deng Wen,
Ennio Doris & family,High School
Bernard Ecclestone & family,
Alexander Frolov,Doctor
Fiona Geminder,Bachelor
Zarakh Iliev,
Viktor Kharitonin,Bachelor
Steven Klinsky,Master
Chris Larsen,Bachelor
Angela Leong,High School
Margarita Louis-Dreyfus & family,
John Middleton,Bachelor
Arnon Milchan,
Arturo Moreno,Bachelor
God Nisanov,Diploma
Benjamin Zhengmin Pan & family,University
Jay Paul,Bachelor
Remo Ruffini,
Patrick Ryan,Bachelor
RJ Scaringe,
Lynn Schusterman,Uni Drop Out
Eric Ya Shen,
Daniel Tsai,Master
Tung Chee Chen,Master
Bulat Utemuratov,
Frank VanderSloot,Bachelor
Kelcy Warren,Bachelor
Xu Yi,
Vladimir Yevtushenkov,Bachelor
Somphote Ahunai,Master
John Arnold,Bachelor
Neal Blue & family,Bachelor
Alejandro Bulgheroni,
Dong Jinggui,
Joseph Edelman,Master
Charles Edelstenne,
Senapathy Gopalakrishnan,Master
B. Wayne Hughes,Bachelor
Ravi Jaipuria,
Samvel Karapetyan,Bachelor
Vyacheslav Kim,
Jim Koch,Bachelor
"Andre Koo, Sr.",Master
Yuri Kovalchuk,Doctor
Richard LeFrak & family,Bachelor
Kevin David Lehmann,
Horst Paulmann & family,
Jean (Gigi) Pritzker,Bachelor
Qi Xiangdong,Master
Renzo Rosso & family,
Stephen Rubin,
"Bernard Saul, II.",Bachelor
Klaus-Peter Schulenberg,
Tahir & family,Master
Lucio Tan,Bachelor
Lottie Tham & family,
Wang Wenxue,
Hans Peter Wild,
"William Wrigley, Jr.",Bachelor
Zhang Xin & Pan Shiyi,Master
Giuliana Benetton,
Luciano Benetton,
Tomasz Biernacki,
Chey Tae-won,Bachelor
John Collison,Uni Drop Out
Patrick Collison,Uni Drop Out
Jack Cowin,Bachelor
Archie Aldis Emmerson & family,High School
Yoichi & Keiko Erikawa,
Juan Carlos Escotet,Master
Carlo Fidani,
Don Hankey,Bachelor
Otto Happel,
He Zhaoxi,Bachelor
Heidi Horten,
Ke Zunhong & family,
Thai Lee,Bachelor
Mikhail Lomtadze,Master
Ronald McAulay,Master
Maja Oeri,
James Packer,
John Sall,Bachelor
Naguib Sawiris,Bachelor
Zygmunt Solorz-Zak,
Lawrence Stroll,
Rita Tong Liu,
Tsai Cheng-ta,University
Tsai Hong-tu,Ph.D
Steve Wynn,Bachelor
Zhang Li,
Otto Philipp Braun,
John Caudwell,
Chi Yufeng,
Camilla de Godoy Bueno Grossi,
Antonio Del Valle Ruiz & family,
Martin Ebner,Doctor
John Fisher,Bachelor
Jane Goldman,
Gu Yuhua & family,
Hao Hong,
Hoi Kin Hong,
Jin Lei,
Artem Khachatryan,Master
Li Gaiteng,
Li Zhongchu,Bachelor
Harald Link,
Sergey Lomakin,Master
Nie Tengyun & family,
Prasert Prasarttong-Osoth,
Penny Pritzker,Bachelor
Herb Simon,Bachelor
Jerry Speyer,Master
Wilhelm Beier & family,
Koos Bekker,Master
Ben Chestnut,Bachelor
John Coates,
Pedro de Godoy Bueno,
Carl Douglas,Bachelor
Eric Douglas,Bachelor
Behdad Eghbali,
Jose E. Feliciano,
Philippe Foriel-Destezet,Master
Gan Zhongru,Ph.D
Allan Goldman,
Amy Goldman Fowler,
Alec Gores,Bachelor
Peter Grogg,
Jimmy Haslam,Bachelor
Christian Haub,
Gudrun Heine,
Huang Jinfeng,
Huang Rulun,
James Irsay,Bachelor
Justin Ishbia,Bachelor
Diane Kemper,
George Kurtz,Bachelor
Dan Kurzius,
Kwek Leng Beng,Bachelor
Geoffrey Kwok,Bachelor
Sheldon Lavin,
Louis Le Duff,
James Leprino,
Joseph Liemandt,Uni Drop Out
Peter Lim,
Jeffrey Lurie,Doctor
Tom Morris,
Or Wai Sheun,
P.V. Ramprasad Reddy,
Haim Saban,High School
