Name,Education
"Henry Sy, Jr.",3
Teresita Sy-Coson,3
Tao Yuequn,
Tong Jinquan,
Tsai Ming-kai,3
Yitzhak Tshuva,
Oprah Winfrey,3
Zhang Wanzhen,
Mortimer Zuckerman,4
Brian Acton,3
Rajendra Agarwal,
John Armitage,
Banwari Lal Bawri,
Girdhari Lal Bawri,
Guilherme Benchimol,3
Cai Dongchen,4
Choo Chong Ngen,
Abilio dos Santos Diniz,3
"John Dorrance, III.",
Bruce Flatt,3
Stein Erik Hagen,
Caroline Hagen Kjos,
Hortensia Herrero,
Anthony Hsieh,3
Hal Jackman,
Brad Kelley,2
Raj Kumar & Kishin RK,
Adam Kwok,4
Lai Shixian,
Stephen Lansdown,
K.C. Liu,3
Aloke Lohia,
Kalanithi Maran,4
